ROW,YEAR,species,CAPDATE,juldate,PERIOD,missing_data,BAND,sex,age,how_sexed,CAPSITE,ver_hab,USE_HAB,hematocrit,T,T_SQRT,T_Log,USE_T,CAPTIME,StdJulDep,Time2Dep,mass,fat,CAPBM,WING,tarsus,TAIL,BANDER,BLOOD_TIME,HEM,TOTAL,bs1,bs7,bs14,bs30,BR1,BR7,BR14,BR30
1699,2010,AMRE,3/16/10,75,3,Y,257044467,F,SY,PLUM,MM,U,N,0.46,,,, ,950,NA,,5.6,0,2,55,15.87,52,CMT,2,25.42,55.55,0,0,0,30.5,0,0,4,4
1764,2010,AMRE,3/20/10,79,3,Y,257044468,F,ASY,PLUM,LII,U,N,0.46,,,, ,750,NA,,6.1,1,2,58,17.2,52,NWC,4,13.76,29.75,0,0,0,30.5,0,0,0,4
1812,2010,AMRE,3/23/10,82,3,Y,241079048,F,ASY,PLUM,LII,L,Y,0.47,,,, ,640,126,44,6,0,1,60,16.71,56,NWC,3,21,44.32,0,0,0,30.5,0,0,0,4
1751,2010,AMRE,3/19/10,78,3,Y,241079097,F,ASY,PLUM,LII,L,Y,0.47,,,, ,1310,132,54,6,0,1,59,17.25,52,NWC,3,24.04,50.75,0,0,0,30.5,0,0,0,4
1806,2010,AMRE,3/23/10,82,3,Y,255039556,F,ASY,PLUM,LI,L,Y,0.47,,,, ,710,NA,,6.1,2,1,58.5,16.86,53,CMT,6,24.59,52.12,0,0,0,30.5,0,0,0,4
1785,2010,AMRE,3/22/10,81,3,Y,257044349,F,ASY,PLUM,LI,L,Y,0.47,,,, ,740,NA,,5.6,0,1,57,16.27,52,MAT,6,9.17,19.61,0,0,0,30.5,0,0,0,4
1839,2010,AMRE,3/25/10,84,3,Y,257044352,F,SY,PLUM,MI,M,Y,0.47,,,, ,810,NA,,6.2,1,1,57,17.08,55,CMT,5,14.63,30.81,0,0,0,30.5,0,0,0,4
1760,2010,AMRE,3/20/10,79,3,Y,257044412,F,SY,PLUM,MII,M,Y,0.47,,,, ,1040,NA,,6.3,2,1,58.5,16.27,57.5,MAT,3,23.07,48.78,0,0,0,30.5,0,0,0,4
1803,2010,AMRE,3/23/10,82,3,Y,257044372,F,SY,PLUM,LI,U,N,0.47,,,, ,640,NA,,5.7,0,1,55,16.5,50.5,CMT,3,9.38,19.8,0,0,0,30.5,0,0,0,4
1800,2010,AMRE,3/23/10,82,3,Y,253012351,F,ASY,PLUM,LI,L,Y,0.48,,,, ,1000,135,53,6.8,2,2,58,17.78,52.5,CMT,2,31.3,65.82,0,0,0,30.5,0,0,0,4
